,fpr,tpr,thres,auc
0,0.0,0.0,inf,0.8827391975308643
1,0.0,0.002777777777777778,0.956251323223114,0.8827391975308643
2,0.0,0.075,0.9550146460533142,0.8827391975308643
3,0.002777777777777778,0.075,0.9550070762634277,0.8827391975308643
4,0.002777777777777778,0.1,0.9548329710960388,0.8827391975308643
5,0.005555555555555556,0.1,0.9548314213752747,0.8827391975308643
6,0.005555555555555556,0.3388888888888889,0.9503757357597351,0.8827391975308643
7,0.008333333333333333,0.3388888888888889,0.9502237439155579,0.8827391975308643
8,0.008333333333333333,0.4722222222222222,0.8929934501647949,0.8827391975308643
9,0.011111111111111112,0.4722222222222222,0.8899952173233032,0.8827391975308643
10,0.011111111111111112,0.4861111111111111,0.8703929781913757,0.8827391975308643
11,0.016666666666666666,0.4861111111111111,0.8685460090637207,0.8827391975308643
12,0.016666666666666666,0.49722222222222223,0.8640648126602173,0.8827391975308643
13,0.022222222222222223,0.49722222222222223,0.8620995283126831,0.8827391975308643
14,0.022222222222222223,0.5472222222222223,0.8295392990112305,0.8827391975308643
15,0.025,0.5472222222222223,0.827238917350769,0.8827391975308643
16,0.025,0.575,0.7944211363792419,0.8827391975308643
17,0.030555555555555555,0.575,0.7842570543289185,0.8827391975308643
18,0.030555555555555555,0.5888888888888889,0.7662344574928284,0.8827391975308643
19,0.03333333333333333,0.5888888888888889,0.7578644752502441,0.8827391975308643
20,0.03333333333333333,0.6166666666666667,0.6625074148178101,0.8827391975308643
21,0.03611111111111111,0.6166666666666667,0.65644770860672,0.8827391975308643
22,0.03611111111111111,0.6333333333333333,0.6273924112319946,0.8827391975308643
23,0.041666666666666664,0.6333333333333333,0.6175180673599243,0.8827391975308643
24,0.041666666666666664,0.6361111111111111,0.6102859377861023,0.8827391975308643
25,0.05,0.6361111111111111,0.5855501294136047,0.8827391975308643
26,0.05,0.6416666666666667,0.5821775197982788,0.8827391975308643
27,0.05555555555555555,0.6416666666666667,0.5695216655731201,0.8827391975308643
28,0.05555555555555555,0.6444444444444445,0.5666199922561646,0.8827391975308643
29,0.058333333333333334,0.6444444444444445,0.566595196723938,0.8827391975308643
30,0.058333333333333334,0.6638888888888889,0.5182574987411499,0.8827391975308643
31,0.06666666666666667,0.6638888888888889,0.5117833614349365,0.8827391975308643
32,0.06666666666666667,0.6777777777777778,0.492616206407547,0.8827391975308643
33,0.07222222222222222,0.6777777777777778,0.49012115597724915,0.8827391975308643
34,0.07222222222222222,0.6888888888888889,0.4836845099925995,0.8827391975308643
35,0.07777777777777778,0.6888888888888889,0.4825304448604584,0.8827391975308643
36,0.07777777777777778,0.7027777777777777,0.46205565333366394,0.8827391975308643
37,0.08055555555555556,0.7027777777777777,0.45801129937171936,0.8827391975308643
38,0.08055555555555556,0.7166666666666667,0.44238224625587463,0.8827391975308643
39,0.08333333333333333,0.7166666666666667,0.4379080832004547,0.8827391975308643
40,0.08333333333333333,0.7222222222222222,0.43684276938438416,0.8827391975308643
41,0.08611111111111111,0.7222222222222222,0.435655802488327,0.8827391975308643
42,0.08611111111111111,0.7277777777777777,0.43322235345840454,0.8827391975308643
43,0.08888888888888889,0.7277777777777777,0.4318253695964813,0.8827391975308643
44,0.08888888888888889,0.7388888888888889,0.41346490383148193,0.8827391975308643
45,0.09166666666666666,0.7388888888888889,0.41217780113220215,0.8827391975308643
46,0.09166666666666666,0.7416666666666667,0.40779629349708557,0.8827391975308643
47,0.09444444444444444,0.7416666666666667,0.40767285227775574,0.8827391975308643
48,0.09444444444444444,0.75,0.40226706862449646,0.8827391975308643
49,0.10833333333333334,0.75,0.3917773365974426,0.8827391975308643
50,0.10833333333333334,0.7555555555555555,0.3855200707912445,0.8827391975308643
51,0.1111111111111111,0.7555555555555555,0.38485145568847656,0.8827391975308643
52,0.1111111111111111,0.7611111111111111,0.38183119893074036,0.8827391975308643
53,0.11388888888888889,0.7611111111111111,0.37672168016433716,0.8827391975308643
54,0.11388888888888889,0.7694444444444445,0.37655606865882874,0.8827391975308643
55,0.11666666666666667,0.7694444444444445,0.3730432987213135,0.8827391975308643
56,0.11666666666666667,0.7722222222222223,0.37138184905052185,0.8827391975308643
57,0.12222222222222222,0.7722222222222223,0.3630996346473694,0.8827391975308643
58,0.12222222222222222,0.775,0.36303696036338806,0.8827391975308643
59,0.1361111111111111,0.775,0.34801286458969116,0.8827391975308643
60,0.1361111111111111,0.7777777777777778,0.34741833806037903,0.8827391975308643
61,0.15,0.7777777777777778,0.3356330394744873,0.8827391975308643
62,0.15,0.7805555555555556,0.33520442247390747,0.8827391975308643
63,0.15555555555555556,0.7805555555555556,0.33268246054649353,0.8827391975308643
64,0.15555555555555556,0.7833333333333333,0.3315249979496002,0.8827391975308643
65,0.15833333333333333,0.7833333333333333,0.3309314250946045,0.8827391975308643
66,0.15833333333333333,0.7861111111111111,0.3296193480491638,0.8827391975308643
67,0.16666666666666666,0.7861111111111111,0.31386375427246094,0.8827391975308643
68,0.16666666666666666,0.7888888888888889,0.30976584553718567,0.8827391975308643
69,0.175,0.7888888888888889,0.29645657539367676,0.8827391975308643
70,0.175,0.7916666666666666,0.29486575722694397,0.8827391975308643
71,0.19722222222222222,0.7916666666666666,0.2706511914730072,0.8827391975308643
72,0.19722222222222222,0.7972222222222223,0.2655245065689087,0.8827391975308643
73,0.20277777777777778,0.7972222222222223,0.25380244851112366,0.8827391975308643
74,0.20277777777777778,0.8027777777777778,0.24938681721687317,0.8827391975308643
75,0.2111111111111111,0.8027777777777778,0.24413299560546875,0.8827391975308643
